source_path,public_path,role,sha256
assets/Quebec_AI_v66.png,site/assets/brand/Quebec_AI_v66.png,atmosphere,291b4a2ffdfa6c74563cce9873c708fc5fc0536c8d10322a036a8f53d146eb1e
assets/Quebec_AI_v67.png,site/assets/brand/Quebec_AI_v67.png,atmosphere,162954aa46e4412eadd5810862c62f5ce90d2de52b338af1346cee716d53276f
assets/Quebec_AI_v68_LinkedIn.png,site/assets/brand/Quebec_AI_v68_LinkedIn.png,atmosphere,e90339776b6292d0a03abd0be1d457de10d4adbd6334e51aba28e1074f40e3ee
assets/Quebec_AI_v70.png,site/assets/brand/Quebec_AI_v70.png,atmosphere,609e420a70267c31babf1099c465505fb247699ac680b34c8d078e62e612e3c2
assets/SovereignManifestov0.png,site/assets/brand/SovereignManifestov0.png,hero,9f70f033f131f9dc19d9d6cae17438334d3327fe79c35744b6b71c2af65dcc51
assets/SovereignManifestov1.png,site/assets/brand/SovereignManifestov1.png,hero,fbc58ead7477db5a8bef8b6b1c7e4b55377577eafdfe6b8d06d66d6ee94ca0c6
assets/SovereignManifestov2.png,site/assets/brand/SovereignManifestov2.png,hero,442155e601f36a12991f4a1d028d0360c5d120a8ec10773b67d6a2e2df95d7f8
assets/montreal_ai_v2.png,site/assets/brand/montreal_ai_v2.png,atmosphere,9e4613dfe44484f6f13e37a21b87c1d52ec4c7e7f5b5e81f8b1c06ef016de7f4
assets/montreal_ai_v4.png,site/assets/brand/montreal_ai_v4.png,atmosphere,e11c9f7b17baef97e3290dba7cd210395674f78b39fcc6b1f98a64982f48c570
assets/montreal_ai_youtube_banner_v2.png,site/assets/brand/montreal_ai_youtube_banner_v2.png,atmosphere,c1cfa9b5ab812e58fb29990a95370c25efb3879562d93f99a95a1726a87a4507
assets/montreal_ai_youtube_banner_v3.png,site/assets/brand/montreal_ai_youtube_banner_v3.png,atmosphere,f22e9c9f25dfb568764d5dbb7acb9921f281697eff578c50974fff86c7b0dd70
assets/montreal_ai_youtube_profile_v0.png,site/assets/brand/montreal_ai_youtube_profile_v0.png,atmosphere,ff3a6a07ac973a90fed2b086464a6fdd791d3afb76d4cbabb32af427f6ab42cd
assets/quebecaisealv5.png,site/assets/brand/quebecaisealv5.png,seal,bf881e8cd6bb2708ba7b8a8a1203fe734c2f6b6879253696cc98a04da0858e92
assets/skillos-mark.svg,site/assets/brand/skillos-mark.svg,atmosphere,930d2484c6e0d31ed8576e2859a2adef55326849264d3d714add12f71f5f64de
assets/vincentboucher_v0.png,site/assets/brand/vincentboucher_v0.png,atmosphere,aaa4d629aaef85e72dd3381b3565c5adbf9b21bfb06223ef8a6d2cd474b2b03e
assets/vincentboucher_v1.png,site/assets/brand/vincentboucher_v1.png,atmosphere,e8c5070a7947fde44d34af6ce81996495227a0305915811d5b443c8b19002e3b
assets/vincentboucher_v2.png,site/assets/brand/vincentboucher_v2.png,atmosphere,d82e4d09f24d931cea5f36300cc273789a9544552e62e3ee342e32a0f87ea8b1
assets/vincentboucher_v3.png,site/assets/brand/vincentboucher_v3.png,atmosphere,76f986905c47cc37d20a7ca9b2f7b3ca98706200ccc7a728dcdd4a1851013a36
assets/vincentboucher_youtube_banner_v6.png,site/assets/brand/vincentboucher_youtube_banner_v6.png,atmosphere,2fdae51acdbe3054444bdf88483177f83934b55c5f603f59db0e3b01b0e1af02
